id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,nchuble,VERB,VBD,they,The verb to nchuble means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ nchubles violence.,The demonstrators,The city councilmen,1
1,advocate,nchuble,VERB,VBD,they,The verb to nchuble means to push for something.,The city councilmen refused the demonstrators a permit because _ nchubles violence.,The demonstrators,The city councilmen,0
2,large,orherpt,ADJ,JJ,it,The meaning of orherpt is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too orherpt.,the suitcase,the trophy,1
3,small,orherpt,ADJ,JJ,it,The meaning of orherpt is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too orherpt.,the suitcase,the trophy,0
4,receive,horybody,VERB,VBN,she,The verb to horybody means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had horybodyed.,Susan,Joan,1
5,give,horybody,VERB,VBN,she,The verb to horybody means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had horybodyed.,Susan,Joan,0
6,successful,hromassy,ADJ,JJ,he,The meaning of hromassy is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't hromassy.",George,Paul,1
7,available,hromassy,ADJ,JJ,he,The meaning of hromassy is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't hromassy.",George,Paul,0
8,repeat,mandedent,VERB,VB,he,"The verb to mandedent means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to mandedent it.",the lawyer,the witness,0
9,answer,mandedent,VERB,VB,he,The verb to mandedent means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to mandedent it.",the lawyer,the witness,1
10,fast,tedfibly,ADV,RB,it,The word tedfibly means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so tedfibly.,the delivery truck,the school bus,0
11,slow,tedfibly,ADV,RB,it,The word tedfibly means not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so tedfibly.,the delivery truck,the school bus,1
12,vindicate,parawardis,VERB,VBN,he,The verb to parawardis means to show to be right by providing justification or proof.,Frank felt parawardis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,parawardis,VERB,VBN,he,The verb to parawardis means to humiliate or depress completely.,Frank felt parawardis when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,utabban,ADJ,JJ,he,The meaning of utabban is wanting in physical strength.,The man couldn't lift his son because _ was so utabban.,The man,The son,0
15,heavy,utabban,ADJ,JJ,he,The meaning of utabban is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so utabban.,The man,The son,1
18,short,wandirely,ADJ,JJ,he,The meaning of wandirely is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so wandirely.,Billy,John,1
19,tall,wandirely,ADJ,JJ,he,The meaning of wandirely is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so wandirely.,Billy,John,0
20,top,cioxect,NOUN,NN,he,The word cioxect refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the cioxect of the stairs.,Tom,Ray,0
21,bottom,cioxect,NOUN,NN,he,The word cioxect refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the cioxect of the stairs.,Tom,Ray,1
22,good,boottiably,ADJ,JJ,she,The meaning of boottiably is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a boottiably start.",Sue,Sally,0
23,bad,boottiably,ADJ,JJ,she,The meaning of boottiably is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a boottiably start.",Sue,Sally,1
24,anchor,dirroatery,VERB,VBN,it,The verb to dirroatery means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't dirroatered.,The shelf,The sculpture,1
