id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,peadfal,VERB,VBD,they,The verb to peadfal means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ peadfal violence.,The demonstrators,The city councilmen,1
1,advocate,peadfal,VERB,VBD,they,The verb to peadfal means to push for something.,The city councilmen refused the demonstrators a permit because _ peadfal violence.,The demonstrators,The city councilmen,0
2,large,ndenstic,ADJ,JJ,it,The meaning of ndenstic is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ndenstic.,the suitcase,the trophy,1
3,small,ndenstic,ADJ,JJ,it,The meaning of ndenstic is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too ndenstic.,the suitcase,the trophy,0
4,receive,uptichet,VERB,VBN,she,The verb to uptichet means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had uptiched.,Susan,Joan,1
5,give,uptichet,VERB,VBN,she,The verb to uptichet means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had uptiched.,Susan,Joan,0
6,successful,adingsta,ADJ,JJ,he,The meaning of adingsta is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't adingsta.",George,Paul,1
7,available,adingsta,ADJ,JJ,he,The meaning of adingsta is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't adingsta.",George,Paul,0
8,repeat,niumve,VERB,VB,he,"The verb to niumve means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to niumve it.",the lawyer,the witness,0
9,answer,niumve,VERB,VB,he,The verb to niumve means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to niumve it.",the lawyer,the witness,1
10,fast,enourna,ADV,RB,it,The word enourna means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so enourna.,the delivery truck,the school bus,0
11,slow,enourna,ADV,RB,it,The word enourna means not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so enourna.,the delivery truck,the school bus,1
12,vindicate,teeksig,VERB,VBN,he,The verb to teeksig means to show to be right by providing justification or proof.,Frank felt teeksiged when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,teeksig,VERB,VBN,he,The verb to teeksig means to humiliate or depress completely.,Frank felt teeksiged when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,ubjuned,ADJ,JJ,he,The meaning of ubjuned is wanting in physical strength.,The man couldn't lift his son because _ was so ubjuned.,The man,The son,0
15,heavy,ubjuned,ADJ,JJ,he,The meaning of ubjuned is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so ubjuned.,The man,The son,1
18,short,xensish,ADJ,JJ,he,The meaning of xensish is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so xensish.,Billy,John,1
19,tall,xensish,ADJ,JJ,he,The meaning of xensish is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so xensish.,Billy,John,0
20,top,chneoust,NOUN,NN,he,The word chneoust refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the chneoust of the stairs.,Tom,Ray,0
21,bottom,chneoust,NOUN,NN,he,The word chneoust refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the chneoust of the stairs.,Tom,Ray,1
