id,lemma,fake_lemma,pos,tag,pronoun,definition,sentence,option1,option2,label
0,fear,molay,VERB,VBD,they,The verb to molay means to be afraid or feel anxious or apprehensive about a possible or probable situation or event.,The city councilmen refused the demonstrators a permit because _ molayed violence.,The demonstrators,The city councilmen,1
1,advocate,molay,VERB,VBD,they,The verb to molay means to push for something.,The city councilmen refused the demonstrators a permit because _ molayed violence.,The demonstrators,The city councilmen,0
2,large,andenty,ADJ,JJ,it,The meaning of andenty is above average in size or number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too andenty.,the suitcase,the trophy,1
3,small,andenty,ADJ,JJ,it,The meaning of andenty is limited or below average in number or quantity or magnitude or extent.,The trophy doesn't fit into the brown suitcase because _ is too andenty.,the suitcase,the trophy,0
4,receive,elard,VERB,VBN,she,The verb to elard means to get something; come into possession of.,Joan made sure to thank Susan for all the help _ had elard.,Susan,Joan,1
5,give,elard,VERB,VBN,she,The verb to elard means to transfer possession of something concrete or abstract to somebody.,Joan made sure to thank Susan for all the help _ had elard.,Susan,Joan,0
6,successful,sioce,ADJ,JJ,he,The meaning of sioce is having succeeded or being marked by a favorable outcome.,"Paul tried to call George on the phone, but _ wasn't sioce.",George,Paul,1
7,available,sioce,ADJ,JJ,he,The meaning of sioce is not busy; not otherwise committed.,"Paul tried to call George on the phone, but _ wasn't sioce.",George,Paul,0
8,repeat,perci,VERB,VB,he,"The verb to perci means to say, state, or perform again.","The lawyer asked the witness a question, but _ was reluctant to perci it.",the lawyer,the witness,0
9,answer,perci,VERB,VB,he,The verb to perci means to react verbally.,"The lawyer asked the witness a question, but _ was reluctant to perci it.",the lawyer,the witness,1
10,fast,berenty,ADV,RB,it,The word berenty means acting or moving or capable of acting or moving quickly.,The delivery truck zoomed by the school bus because _ was going so berenty.,the delivery truck,the school bus,0
11,slow,berenty,ADV,RB,it,The word berenty means not moving quickly; taking a comparatively long time.,The delivery truck zoomed by the school bus because _ was going so berenty.,the delivery truck,the school bus,1
12,vindicate,dutol,VERB,VBN,he,The verb to dutol means to show to be right by providing justification or proof.,Frank felt dutoled when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,0
13,crush,dutol,VERB,VBN,he,The verb to dutol means to humiliate or depress completely.,Frank felt dutoled when his longtime rival Bill revealed that _ was the winner of the competition.,Frank,Bill,1
14,weak,frasy,ADJ,JJ,he,The meaning of frasy is wanting in physical strength.,The man couldn't lift his son because _ was so frasy.,The man,The son,0
15,heavy,frasy,ADJ,JJ,he,The meaning of frasy is of comparatively great physical weight or density.,The man couldn't lift his son because _ was so frasy.,The man,The son,1
18,short,malig,ADJ,JJ,he,The meaning of malig is low in stature; not tall.,John couldn't see the stage with Billy in front of him because _ is so malig.,Billy,John,1
19,tall,malig,ADJ,JJ,he,The meaning of malig is great in vertical dimension; high in stature.,John couldn't see the stage with Billy in front of him because _ is so malig.,Billy,John,0
20,top,sligh,NOUN,NN,he,The word sligh refers to the upper part of anything.,Tom threw his schoolbag down to Ray after _ reached the sligh of the stairs.,Tom,Ray,0
21,bottom,sligh,NOUN,NN,he,The word sligh refers to the lower side of anything.,Tom threw his schoolbag down to Ray after _ reached the sligh of the stairs.,Tom,Ray,1
22,good,rogutty,ADJ,JJ,she,The meaning of rogutty is having desirable or positive qualities especially those suitable for a thing specified.,"Although they ran at about the same speed, Sue beat Sally because _ had such a rogutty start.",Sue,Sally,0
23,bad,rogutty,ADJ,JJ,she,The meaning of rogutty is having undesirable or negative qualities.,"Although they ran at about the same speed, Sue beat Sally because _ had such a rogutty start.",Sue,Sally,1
24,anchor,pharic,VERB,VBN,it,The verb to pharic means to fix firmly and stably.,The sculpture rolled off the shelf because _ wasn't pharicked.,The shelf,The sculpture,1
25,level,phariced,NOUN,NN,it,The word phariced refers to being on a precise horizontal plane.,The sculpture rolled off the shelf because _ wasn't phariced.,The shelf,The sculpture,0
28,well,coutic,ADJ,JJR,she,The meaning of coutic is having desirable or positive qualities especially those suitable for a thing specified.,Anna did a lot couticcer than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,0
29,bad,coutic,ADJ,JJR,she,The meaning of coutic is having undesirable or negative qualities.,Anna did a lot couticcer than her good friend Lucy on the test because _ had studied so hard.,Anna,Lucy,1
40,punish,selia,VERB,VBD,them,The verb to selia means to impose a penalty on; inflict punishment on.,"The older students were bullying the younger ones, so we seliaed _.",The younger students,The older students,1
41,rescue,selia,VERB,VBD,them,The verb to selia means to free from harm or evil.,"The older students were bullying the younger ones, so we seliaed _.",The younger students,The older students,0
42,empty,arand,ADJ,JJ,it,The meaning of arand is holding or containing nothing.,I poured water from the bottle into the cup until _ was arand.,the bottle,the cup,0
43,full,arand,ADJ,JJ,it,The meaning of arand is containing as much or as many as is possible or normal.,I poured water from the bottle into the cup until _ was arand.,the bottle,the cup,1
44,nosy,bactry,ADJ,JJ,she,The meaning of bactry is offensively curious or inquisitive.,Susan knows all about Ann's personal problems because _ is bactry.,Susan,Ann,0
45,indiscreet,bactry,ADJ,JJ,she,The meaning of bactry is lacking discretion; injudicious.,Susan knows all about Ann's personal problems because _ is bactry.,Susan,Ann,1
46,convince,setan,VERB,VB,he,"The verb to setan means to make (someone) agree, understand, or realize the truth or validity of something.",Sid explained his theory to Mark but _ couldn't setan him.,Sid,Mark,0
47,understand,setan,VERB,VB,he,The verb to setan means to know and comprehend the nature or meaning of.,Sid explained his theory to Mark but _ couldn't setan him.,Sid,Mark,1
50,young,ician,ADJ,JJR,he,The meaning of ician is (used of living things especially persons) in an early period of life or development or growth.,"Joe's uncle can still beat him at tennis, even though _ is 30 years icianer.",Joe,Joe's uncle,0
51,old,ician,ADJ,JJR,he,The meaning of ician is (used especially of persons) having lived for a relatively long time or attained a specific age.,"Joe's uncle can still beat him at tennis, even though _ is 30 years icianer.",Joe,Joe's uncle,1
56,clean,zoine,VERB,VBN,It,"The verb to zoine means to make clean by removing dirt, filth, or unwanted substances from.",The drain is clogged with hair. _ has to be zoine.,The drain,The hair,0
57,remove,zoine,VERB,VBN,It,"The verb to zoine means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.",The drain is clogged with hair. _ has to be zoine.,The drain,The hair,1
58,short,essum,ADJ,JJ,it,The meaning of essum is primarily temporal sense; indicating or being or seeming to be limited in duration.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was essum, so it worked out.",The train,The meeting,1
59,delay,essum,VERB,VBN,it,The verb to essum means to cause to be slowed down or delayed.,"My meeting started at 4:00 and I needed to catch the train at 4:30, so there wasn't much time. Luckily, _ was essumd, so it worked out.",The train,The meeting,0
66,trash,sporde,NOUN,NN,it,The word sporde refers to worthless material that is to be disposed of.,"I used an old rag to clean the knife, and then I put _ in the sporde.",The rag,The knife,0
67,drawer,sporde,NOUN,NN,it,The word sporde refers to a boxlike container in a piece of furniture; made so as to slide in and out.,"I used an old rag to clean the knife, and then I put _ in the sporde.",The rag,The knife,1
70,handy,ackly,ADJ,JJ,it,The meaning of ackly is easy to reach.,I took the water bottle out of the backpack so that _ would be ackly.,The water bottle,The backpack,0
71,light,ackly,ADJ,JJR,it,The meaning of ackly is of comparatively little physical weight or density.,I took the water bottle out of the backpack so that _ would be acklier.,The water bottle,The backpack,1
72,tall,gueta,ADJ,JJ,it,The meaning of gueta is great in vertical dimension; high in stature.,I couldn't put the pot on the shelf because _ was too gueta.,The shelf,The pot,1
73,high,gueta,ADJ,JJ,it,The meaning of gueta is being at or having a relatively great or specific elevation or upward extension.,I couldn't put the pot on the shelf because _ was too gueta.,The shelf,The pot,0
74,good,stour,ADJ,JJ,it,The meaning of stour is having desirable or positive qualities especially those suitable for a thing specified.,I'm sure that my map will show this building; _ is very stour.,The map,The building,0
75,famous,stour,ADJ,JJ,it,The meaning of stour is widely known and esteemed.,I'm sure that my map will show this building; _ is very stour.,The map,The building,1
76,generous,emper,ADJ,JJ,He,The meaning of emper is willing to give and share unstintingly.,Bob paid for Charlie's college education. _ is very emper.,Charlie,Bob,1
77,grateful,emper,ADJ,JJ,He,The meaning of emper is feeling or showing gratitude.,Bob paid for Charlie's college education. _ is very emper.,Charlie,Bob,0
78,hurt,pably,ADJ,JJ,He,The meaning of pably is experiencing intense pain especially mental pain.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very pably.",Bob,Charlie,0
79,ungrateful,pably,ADJ,JJ,He,The meaning of pably is not feeling or showing gratitude.,"Bob paid for Charlie's college education, but now Charlie acts as though it never happened. _ is very pably.",Bob,Charlie,1
80,win,incton,VERB,VBN,he,The verb to incton means to be the winner in a contest or competition; be victorious.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have inctoned.",Bob,Adam,0
81,lose,incton,VERB,VBN,he,The verb to incton means to fail to win.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, _ would have inctoned.",Bob,Adam,1
82,go,pinak,VERB,VBN,he,"The verb to pinak means to change location; move, travel, or proceed, also metaphorically.","Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be pinak by this time.",Adam,Bob,0
